TWNRNGSEC,avg_d_mbps,avg_u_mbps,avg_lat_ms,cluster_labels
42N03W21,2.4636666666666667,2.0243333333333333,53.666666666666664,0
42N03W28,2.4636666666666667,2.0243333333333333,53.666666666666664,0
42N03W29,4.371,2.247,190.5,0
42N03W30,10.093,2.915,601.0,2
42N03W31,10.093,2.915,601.0,2
42N03W32,10.093,2.915,601.0,2
42N04E16,16.229,1.2189999999999999,566.7,2
42N04E17,22.318083333333334,1.7489166666666673,77.83333333333333,0
42N04E19,14.673,2.787,679.0,2
42N04E20,26.909500000000005,3.4016428571428574,114.21428571428571,0
42N04E21,26.484863636363638,3.5785909090909085,280.8636363636364,0
42N04E22,28.072000000000003,1.9505,49.0,0
42N04E24,4.706,1.003,39.0,0
42N04E25,73.72161538461539,10.196153846153845,47.07692307692308,1
42N04E26,31.841466666666665,6.484266666666667,88.4,0
42N04E27,32.104499999999994,3.85925,103.41666666666667,0
42N04E30,26.680999999999997,3.22,58.75,0
42N04E31,42.17405882352941,7.725,47.8235294117647,0
42N04E34,26.081344827586207,3.644827586206897,106.3103448275862,0
42N04E35,26.07870833333334,4.026645833333333,85.95833333333333,0
42N04E36,29.6683888888889,3.8957222222222225,35.5,0
42N04W29,85.1175,7.273750000000001,57.4375,1
42N04W30,76.423,7.734249999999999,221.0,1
42N04W31,72.03845454545454,6.795090909090908,338.72727272727275,0
42N04W32,88.54052941176472,9.15161764705882,68.82352941176471,1
42N04W33,27.585,2.853,621.0,2
42N05E03,48.72385714285714,13.215571428571426,50.57142857142857,1
42N05E06,46.627,17.122,39.0,1
42N05E10,48.72385714285714,13.215571428571426,50.57142857142857,1
42N05E11,41.448,2.445,813.0,2
42N05E12,13.754000000000001,1.387,475.5,2
42N05E13,14.416500000000001,1.76425,290.75,0
